"Time","prada","Miu Miu","Gucci","Valentino","Salvatore Ferragamo"
"2021-05-01",17,2,47,11,2
"2021-06-01",18,2,43,13,2
"2021-07-01",20,2,47,14,3
"2021-08-01",25,2,60,8,2
"2021-09-01",28,2,45,12,2
"2021-10-01",24,2,47,16,3
"2021-11-01",27,2,83,17,3
"2021-12-01",31,2,100,19,4
"2022-01-01",28,2,49,14,3
"2022-02-01",27,3,67,16,3
"2022-03-01",28,3,49,14,3
"2022-04-01",25,2,61,19,3
"2022-05-01",27,2,56,19,3
"2022-06-01",26,2,38,7,3
"2022-07-01",29,2,67,4,3
"2022-08-01",28,3,60,4,4
"2022-09-01",31,2,42,3,3
"2022-10-01",32,3,37,3,2
"2022-11-01",38,4,42,4,2
"2022-12-01",43,3,56,4,2
"2023-01-01",32,3,42,4,1
"2023-02-01",33,3,36,4,2
"2023-03-01",31,3,26,3,1
"2023-04-01",32,4,25,3,1
"2023-05-01",35,4,27,3,1
"2023-06-01",32,4,20,2,1
"2023-07-01",35,4,53,15,5
"2023-08-01",38,5,64,17,4
"2023-09-01",41,6,52,18,4
"2023-10-01",35,5,53,16,3
"2023-11-01",46,5,59,20,4
"2023-12-01",54,5,73,27,4
"2024-01-01",36,5,52,20,3
"2024-02-01",41,8,56,26,3
"2024-03-01",43,9,60,25,4
"2024-04-01",41,12,56,24,4
"2024-05-01",50,14,77,24,4
"2024-06-01",45,13,51,23,3
"2024-07-01",44,15,53,21,3
"2024-08-01",45,20,57,23,4
"2024-09-01",46,22,53,25,3
"2024-10-01",46,20,48,30,4
"2024-11-01",56,20,57,30,5
"2024-12-01",67,18,72,39,5
"2025-01-01",42,22,47,27,3
"2025-02-01",46,27,48,33,4
"2025-03-01",51,33,50,34,3
"2025-04-01",50,32,51,34,2
"2025-05-01",49,33,54,31,4
"2025-06-01",50,29,52,32,4
"2025-07-01",54,35,56,34,3
"2025-08-01",62,43,56,38,4
"2025-09-01",67,36,48,32,4
"2025-10-01",52,33,44,33,4
"2025-11-01",81,36,51,44,4
"2025-12-01",99,29,79,61,4
"2026-01-01",46,28,45,42,3
"2026-02-01",63,31,52,38,4
"2026-03-01",62,31,62,32,3
"2026-04-01",63,30,55,30,3
